Negócio - Negócio criado em,Negócio - Organização 2,Negócio - Novo cliente?,Negócio - Etapa,Negócio - Status,Negócio - Data de ganho,Negócio - Data de perda,Organização - Canal de Origem,Negócio - Data atualizada,Negócio - Data da Última Atividade
2021-07-19 09:51:09,Imobiliária 92,Não,04 - Pós-visita,Perdido,,2021-07-21 16:52:43,Tipo A,2021-07-21 16:52:43,2021-07-20
2021-07-19 10:09:18,Imobiliária 112,Sim,05 - Acompanhamento,Perdido,,2021-09-13 12:58:22,Tipo B,2021-09-13 12:58:22,2021-07-27
2021-07-19 10:25:47,Imobiliária 146,,01 - Contato,Em aberto,,,Tipo B,2021-10-13 08:23:17,
2021-07-19 10:26:06,Imobiliária 194,,01 - Contato,Perdido,,2021-08-06 17:22:24,Tipo B,2021-08-20 17:20:01,2021-08-05
2021-07-19 10:26:27,Imobiliária 176,,01 - Contato,Em aberto,,,Tipo B,2021-10-14 11:51:43,
2021-07-19 10:47:31,Imobiliária 26,Sim,03 - Visita Agendada,Perdido,,2021-07-19 14:08:25,Tipo B,2021-07-19 14:08:26,
2021-07-19 11:04:31,Imobiliária 112,Sim,03 - Visita Agendada,Perdido,,2021-07-19 12:09:38,Tipo B,2021-07-19 12:09:38,
2021-07-19 11:11:37,Imobiliária 18,Sim,05 - Acompanhamento,Perdido,,2021-08-06 10:15:59,Tipo D,2021-08-06 10:16:00,2021-07-19
2021-07-19 11:48:01,Imobiliária 41,Não,05 - Acompanhamento,Perdido,,2021-09-13 09:15:52,Tipo D,2021-09-15 17:41:09,2021-09-13
2021-07-19 12:11:27,Imobiliária 115,Sim,03 - Visita Agendada,Perdido,,2021-07-21 17:56:56,Tipo B,2021-07-21 17:56:56,2021-07-19
2021-07-19 12:15:14,Imobiliária 135,Sim,03 - Visita Agendada,Perdido,,2021-07-22 10:52:41,Tipo B,2021-07-22 10:52:41,
2021-07-19 12:18:26,Imobiliária 49,,02 - Ta quente!,Perdido,,2021-07-21 11:08:57,Tipo C,2021-07-21 11:08:58,2021-07-21
2021-07-19 12:20:21,Imobiliária 49,Sim,04 - Pós-visita,Perdido,,2021-07-20 10:12:07,Tipo C,2021-07-20 10:12:08,2021-07-20
2021-07-19 13:34:29,Imobiliária 57,Não,05 - Acompanhamento,Perdido,,2021-09-14 10:54:03,Tipo D,2021-09-14 10:54:03,2021-08-17
2021-07-19 13:38:37,Imobiliária 57,Não,04 - Pós-visita,Perdido,,2021-07-21 16:03:32,Tipo D,2021-07-21 16:03:32,2021-07-20
2021-07-19 14:08:54,Imobiliária 14,Não,04 - Pós-visita,Perdido,,2021-07-21 15:52:11,Tipo D,2021-07-21 15:52:12,2021-07-21
2021-07-19 14:09:23,Imobiliária 14,Não,02 - Ta quente!,Perdido,,2021-07-23 11:57:13,Tipo D,2021-07-23 11:57:14,2021-07-21
2021-07-19 14:40:34,Imobiliária 129,,01 - Contato,Perdido,,2021-10-14 10:24:22,Tipo B,2021-10-14 10:24:22,2021-07-23
2021-07-19 14:51:22,Imobiliária 76,Sim,05 - Acompanhamento,Perdido,,2021-09-04 09:05:26,Tipo A,2021-09-04 09:05:26,2021-08-06
2021-07-19 14:52:04,Imobiliária 76,Não,05 - Acompanhamento,Perdido,,2021-09-03 14:58:09,Tipo A,2021-09-03 14:58:09,2021-08-04
2021-07-19 14:52:24,Imobiliária 76,Não,05 - Acompanhamento,Perdido,,2021-09-02 09:45:41,Tipo A,2021-09-02 09:45:41,
2021-07-19 14:53:18,Imobiliária 76,Não,05 - Acompanhamento,Perdido,,2021-09-02 09:42:58,Tipo A,2021-09-02 09:42:58,
2021-07-19 14:53:26,Imobiliária 105,Sim,03 - Visita Agendada,Perdido,,2021-07-22 15:13:14,Tipo B,2021-07-22 15:13:15,
2021-07-19 15:01:46,Imobiliária 128,,01 - Contato,Em aberto,,,Tipo B,2021-10-01 10:14:31,2021-07-28
2021-07-19 15:36:08,Imobiliária 37,,01 - Contato,Em aberto,,,Tipo D,2021-10-08 10:23:01,2021-07-21
2021-07-19 15:47:36,Imobiliária 167,,01 - Contato,Em aberto,,,Tipo C,2021-09-29 09:37:51,
2021-07-19 15:51:04,Imobiliária 40,Não,03 - Visita Agendada,Perdido,,2021-07-22 14:10:23,Tipo D,2021-07-22 14:10:24,
2021-07-19 16:55:50,Imobiliária 27,,02 - Ta quente!,Perdido,,2021-08-21 10:13:01,Tipo B,2021-08-21 10:13:01,2021-08-11
2021-07-19 16:56:55,Imobiliária 85,Sim,02 - Ta quente!,Em aberto,,,Tipo A,2021-09-30 10:26:43,2021-09-24
2021-07-19 17:07:21,Imobiliária 31,Sim,04 - Pós-visita,Perdido,,2021-07-20 15:50:43,Tipo D,2021-07-20 15:50:43,2021-07-19
2021-07-19 17:09:03,Imobiliária 31,Não,04 - Pós-visita,Perdido,,2021-07-20 15:51:54,Tipo D,2021-07-20 15:51:54,2021-07-20
2021-07-19 17:26:05,Imobiliária 8,Sim,05 - Acompanhamento,Perdido,,2021-08-12 11:29:16,Tipo A,2021-08-12 11:29:16,2021-08-12
2021-07-19 17:28:58,Imobiliária 8,Não,04 - Pós-visita,Perdido,,2021-07-21 15:58:59,Tipo A,2021-07-21 15:58:59,2021-07-20
2021-07-20 08:12:42,Imobiliária 154,,02 - Ta quente!,Em aberto,,,Tipo C,2021-10-06 16:55:44,2021-07-23
2021-07-20 08:19:24,Imobiliária 17,Sim,05 - Acompanhamento,Perdido,,2021-09-13 14:04:23,Tipo D,2021-09-13 14:04:23,2021-07-30
2021-07-20 08:20:22,Imobiliária 17,Não,04 - Pós-visita,Perdido,,2021-07-21 11:26:36,Tipo D,2021-07-21 11:26:36,2021-07-20
2021-07-20 08:32:59,Imobiliária 146,,02 - Ta quente!,Em aberto,,,Tipo B,2021-10-13 17:04:23,2021-08-24
2021-07-20 08:53:39,Imobiliária 43,Sim,05 - Acompanhamento,Perdido,,2021-07-23 13:39:10,Tipo D,2021-07-23 14:08:12,2021-07-23
2021-07-20 08:54:03,Imobiliária 43,Não,05 - Acompanhamento,Perdido,,2021-07-23 14:08:31,Tipo D,2021-07-23 14:08:32,2021-07-23
2021-07-20 09:22:36,Imobiliária 69,Não,05 - Acompanhamento,Perdido,,2021-07-22 16:38:38,Tipo D,2021-07-22 16:38:38,2021-07-21
2021-07-20 10:30:44,Imobiliária 170,,02 - Ta quente!,Perdido,,2021-07-28 15:38:12,Tipo B,2021-07-28 15:38:12,2021-07-22
2021-07-20 10:34:30,Imobiliária 149,Não,04 - Pós-visita,Perdido,,2021-07-21 15:21:57,Tipo C,2021-07-21 15:21:59,2021-07-20
2021-07-20 10:52:06,Imobiliária 52,Sim,04 - Pós-visita,Perdido,,2021-07-26 10:26:12,Tipo D,2021-07-26 10:26:12,2021-07-21
2021-07-20 10:52:49,Imobiliária 52,Não,05 - Acompanhamento,Perdido,,2021-08-24 17:28:23,Tipo D,2021-08-24 17:28:23,2021-08-04
2021-07-20 10:54:37,Imobiliária 52,Não,04 - Pós-visita,Perdido,,2021-07-26 10:24:41,Tipo D,2021-07-26 10:24:41,2021-07-21
2021-07-20 11:25:24,Imobiliária 161,Sim,05 - Acompanhamento,Perdido,,2021-08-11 10:26:46,Tipo B,2021-08-11 10:26:47,2021-08-06
2021-07-20 11:27:41,Imobiliária 154,Sim,05 - Acompanhamento,Perdido,,2021-07-29 11:38:54,Tipo C,2021-07-29 11:38:54,
2021-07-20 11:28:51,Imobiliária 154,Não,05 - Acompanhamento,Perdido,,2021-07-29 11:28:44,Tipo C,2021-07-29 11:28:44,
2021-07-20 11:30:04,Imobiliária 154,Não,05 - Acompanhamento,Perdido,,2021-07-27 16:40:02,Tipo C,2021-07-27 16:40:02,
2021-07-20 11:31:48,Imobiliária 61,Sim,05 - Acompanhamento,Perdido,,2021-08-12 09:52:50,Tipo D,2021-08-12 09:52:50,2021-08-04
2021-07-20 11:31:50,Imobiliária 154,Não,05 - Acompanhamento,Perdido,,2021-07-29 11:29:52,Tipo C,2021-07-29 11:29:52,2021-07-20
2021-07-20 11:33:33,Imobiliária 154,Não,05 - Acompanhamento,Perdido,,2021-07-29 11:29:11,Tipo C,2021-07-29 11:29:11,2021-07-21
2021-07-20 11:37:18,Imobiliária 61,Não,04 - Pós-visita,Perdido,,2021-07-21 16:49:36,Tipo D,2021-07-21 16:49:36,2021-07-21
2021-07-20 11:40:51,Imobiliária 61,Sim,04 - Pós-visita,Perdido,,2021-07-26 13:59:24,Tipo D,2021-07-28 17:04:35,
2021-07-20 11:41:49,Imobiliária 59,Sim,05 - Acompanhamento,Perdido,,2021-07-21 08:34:58,Tipo D,2021-07-21 08:34:59,2021-07-21
2021-07-20 11:47:01,Imobiliária 61,Não,05 - Acompanhamento,Perdido,,2021-09-20 17:32:47,Tipo D,2021-09-20 17:32:47,2021-08-30
2021-07-20 11:48:08,Imobiliária 61,Não,04 - Pós-visita,Perdido,,2021-07-26 13:58:25,Tipo D,2021-07-26 13:58:25,2021-07-22
2021-07-20 12:37:48,Imobiliária 183,Sim,04 - Pós-visita,Perdido,,2021-07-21 15:15:33,Tipo B,2021-07-21 15:15:34,2021-07-21
2021-07-20 12:38:12,Imobiliária 183,Não,05 - Acompanhamento,Perdido,,2021-08-25 09:48:02,Tipo B,2021-08-25 09:48:02,2021-07-27
2021-07-20 12:38:37,Imobiliária 183,Não,04 - Pós-visita,Perdido,,2021-07-21 15:34:27,Tipo B,2021-07-21 15:34:28,2021-07-21
2021-07-20 12:39:02,Imobiliária 183,Não,04 - Pós-visita,Perdido,,2021-07-21 15:33:54,Tipo B,2021-07-21 15:33:55,2021-07-21
2021-07-20 12:39:21,Imobiliária 183,Não,04 - Pós-visita,Perdido,,2021-07-21 15:17:33,Tipo B,2021-07-21 15:17:33,2021-07-21
2021-07-20 12:39:39,Imobiliária 183,Não,04 - Pós-visita,Perdido,,2021-07-21 15:33:24,Tipo B,2021-07-21 15:33:24,2021-07-21
2021-07-20 12:40:00,Imobiliária 183,Sim,04 - Pós-visita,Perdido,,2021-07-21 15:16:46,Tipo B,2021-07-21 15:16:47,2021-07-21
2021-07-20 12:40:18,Imobiliária 183,Não,04 - Pós-visita,Perdido,,2021-07-21 15:16:09,Tipo B,2021-07-21 15:16:09,2021-07-21
2021-07-20 12:40:38,Imobiliária 183,Não,04 - Pós-visita,Perdido,,2021-07-21 15:14:36,Tipo B,2021-07-21 15:14:36,2021-07-21
2021-07-20 12:41:35,Imobiliária 183,Não,04 - Pós-visita,Perdido,,2021-07-21 15:13:51,Tipo B,2021-07-21 15:13:51,2021-07-21
2021-07-20 12:42:02,Imobiliária 183,Não,04 - Pós-visita,Perdido,,2021-07-21 15:12:55,Tipo B,2021-07-21 15:12:55,2021-07-21
2021-07-20 13:31:33,Imobiliária 59,Não,07 - Negociação,Perdido,,2021-08-03 17:00:36,Tipo D,2021-08-03 17:00:36,2021-08-04
2021-07-20 13:45:07,Imobiliária 83,Sim,04 - Pós-visita,Perdido,,2021-07-21 11:44:12,Tipo C,2021-07-21 11:44:13,2021-07-21
2021-07-20 13:53:38,Imobiliária 83,Sim,02 - Ta quente!,Perdido,,2021-10-14 10:27:44,Tipo C,2021-10-14 10:27:44,2021-07-23
2021-07-20 14:34:26,Imobiliária 201,Sim,05 - Acompanhamento,Perdido,,2021-07-23 16:49:43,Tipo C,2021-07-23 16:49:43,2021-07-21
2021-07-20 14:37:32,Imobiliária 201,Não,05 - Acompanhamento,Perdido,,2021-07-23 16:51:26,Tipo C,2021-07-23 16:51:27,2021-07-21
2021-07-20 14:41:37,Imobiliária 201,Não,05 - Acompanhamento,Perdido,,2021-07-23 16:51:56,Tipo C,2021-07-23 16:51:57,2021-07-21
2021-07-20 14:43:46,Imobiliária 201,Não,05 - Acompanhamento,Perdido,,2021-09-17 16:45:12,Tipo C,2021-09-17 16:45:12,2021-07-30
2021-07-20 14:46:27,Imobiliária 204,,01 - Contato,Em aberto,,,Tipo C,2021-10-09 08:21:31,2021-07-23
2021-07-20 15:14:46,Imobiliária 92,Sim,04 - Pós-visita,Perdido,,2021-07-21 16:54:38,Tipo A,2021-07-21 16:54:38,2021-07-21
2021-07-20 15:48:24,Imobiliária 92,Não,05 - Acompanhamento,Perdido,,2021-08-12 09:51:20,Tipo A,2021-08-12 09:51:20,2021-08-04
2021-07-20 15:55:02,Imobiliária 31,Sim,05 - Acompanhamento,Perdido,,2021-08-11 13:24:42,Tipo D,2021-09-20 17:38:36,2021-09-20
2021-07-20 16:07:05,Imobiliária 74,,01 - Contato,Em aberto,,,Tipo C,2021-10-14 11:21:24,2021-09-17
2021-07-20 16:37:15,Imobiliária 76,Sim,05 - Acompanhamento,Perdido,,2021-09-20 17:32:58,Tipo A,2021-09-20 17:32:58,2021-08-18
2021-07-20 16:38:29,Imobiliária 17,Não,03 - Visita Agendada,Perdido,,2021-07-23 17:17:27,Tipo D,2021-07-23 17:17:28,
2021-07-20 16:40:32,Imobiliária 17,Não,03 - Visita Agendada,Perdido,,2021-07-23 17:18:03,Tipo D,2021-07-23 17:18:04,2021-07-23
2021-07-20 16:43:27,Imobiliária 76,Não,04 - Pós-visita,Perdido,,2021-07-26 13:46:18,Tipo A,2021-07-26 13:46:18,2021-07-22
2021-07-20 16:51:59,Imobiliária 105,,02 - Ta quente!,Perdido,,2021-07-28 16:35:52,Tipo B,2021-07-28 16:35:52,2021-07-26
2021-07-20 16:52:07,Imobiliária 76,Não,04 - Pós-visita,Perdido,,2021-07-26 13:39:39,Tipo A,2021-07-26 13:39:39,2021-07-22
2021-07-20 16:55:14,Imobiliária 105,Sim,02 - Ta quente!,Perdido,,2021-07-28 16:36:03,Tipo B,2021-07-28 16:36:04,2021-07-26
2021-07-20 17:17:31,Imobiliária 204,,02 - Ta quente!,Em aberto,,,Tipo C,2021-10-11 11:11:40,2021-09-21
2021-07-21 08:28:07,Imobiliária 2,,01 - Contato,Em aberto,,,Tipo B,2021-09-03 09:40:03,2021-08-04
2021-07-21 08:30:27,Imobiliária 2,,01 - Contato,Em aberto,,,Tipo B,2021-09-03 09:42:28,2021-08-12
2021-07-21 08:32:31,Imobiliária 2,,01 - Contato,Em aberto,,,Tipo B,2021-09-03 09:42:06,2021-08-05
2021-07-21 08:33:16,Imobiliária 2,,01 - Contato,Em aberto,,,Tipo B,2021-09-04 10:08:41,2021-08-12
2021-07-21 08:47:15,Imobiliária 14,,01 - Contato,Perdido,,2021-07-23 16:42:08,Tipo D,2021-07-23 16:42:09,
2021-07-21 08:48:59,Imobiliária 18,,01 - Contato,Perdido,,2021-08-18 15:15:44,Tipo D,2021-08-18 15:15:44,2021-08-12
2021-07-21 09:04:03,Imobiliária 26,,01 - Contato,Perdido,,2021-07-22 08:17:06,Tipo B,2021-07-22 08:17:07,
2021-07-21 09:04:56,Imobiliária 26,,01 - Contato,Perdido,,2021-07-22 08:16:55,Tipo B,2021-07-22 08:16:55,
2021-07-21 09:10:53,Imobiliária 33,,01 - Contato,Perdido,,2021-09-04 09:27:43,Tipo C,2021-09-04 09:27:44,2021-08-30
2021-07-21 10:12:24,Imobiliária 40,,02 - Ta quente!,Perdido,,2021-09-14 11:38:50,Tipo D,2021-09-14 11:38:50,2021-07-27
2021-07-21 10:22:16,Imobiliária 197,Sim,01 - Contato,Em aberto,,,Tipo B,2021-09-13 10:55:57,2021-07-28
2021-07-21 10:23:54,Imobiliária 130,,01 - Contato,Em aberto,,,Tipo B,2021-10-13 15:12:46,2021-09-13
2021-07-21 10:26:29,Imobiliária 74,,01 - Contato,Em aberto,,,Tipo C,2021-10-14 11:21:47,2021-09-13
2021-07-21 10:28:03,Imobiliária 74,,01 - Contato,Em aberto,,,Tipo C,2021-10-14 11:22:05,2021-09-16
2021-07-21 10:28:43,Imobiliária 74,,01 - Contato,Em aberto,,,Tipo C,2021-09-19 23:26:20,2021-09-10
2021-07-21 10:30:03,Imobiliária 78,,01 - Contato,Em aberto,,,Tipo C,2021-10-14 11:22:22,2021-09-16
2021-07-21 10:30:47,Imobiliária 78,,01 - Contato,Em aberto,,,Tipo C,2021-09-19 23:27:28,2021-09-14
2021-07-21 10:31:58,Imobiliária 74,,01 - Contato,Em aberto,,,Tipo C,2021-09-18 10:48:00,2021-09-06
2021-07-21 10:32:35,Imobiliária 74,,01 - Contato,Em aberto,,,Tipo C,2021-10-14 11:28:32,
2021-07-21 10:35:52,Imobiliária 161,,01 - Contato,Perdido,,2021-09-30 09:25:42,Tipo B,2021-09-30 09:25:42,2021-09-30
2021-07-21 10:36:21,Imobiliária 161,,01 - Contato,Perdido,,2021-09-30 09:28:49,Tipo B,2021-09-30 09:28:49,2021-09-10
2021-07-21 10:37:09,Imobiliária 161,,01 - Contato,Perdido,,2021-10-08 11:25:37,Tipo B,2021-10-08 11:25:38,2021-09-17
2021-07-21 10:38:48,Imobiliária 37,,01 - Contato,Perdido,,2021-07-21 10:43:38,Tipo D,2021-07-21 10:43:39,
2021-07-21 10:53:09,Imobiliária 49,,02 - Ta quente!,Perdido,,2021-07-27 15:55:22,Tipo C,2021-07-27 15:55:23,
2021-07-21 11:16:34,Imobiliária 49,,02 - Ta quente!,Perdido,,2021-08-04 13:27:15,Tipo C,2021-08-04 13:27:16,2021-07-30
2021-07-21 11:29:30,Imobiliária 49,,02 - Ta quente!,Perdido,,2021-09-21 15:30:30,Tipo C,2021-09-21 15:30:30,2021-07-28
2021-07-21 11:34:04,Imobiliária 64,Não,02 - Ta quente!,Perdido,,2021-09-06 15:12:55,Tipo D,2021-09-06 15:12:55,2021-08-13
2021-07-21 11:36:37,Imobiliária 74,,02 - Ta quente!,Em aberto,,,Tipo C,2021-10-14 11:07:54,2021-10-07
2021-07-21 11:50:24,Imobiliária 171,Não,05 - Acompanhamento,Perdido,,2021-07-29 11:34:49,Tipo C,2021-07-29 11:34:50,2021-07-30
2021-07-21 11:53:53,Imobiliária 63,Não,05 - Acompanhamento,Perdido,,2021-09-02 15:03:40,Tipo D,2021-09-02 15:03:40,2021-08-04
2021-07-21 12:03:30,Imobiliária 40,Não,05 - Acompanhamento,Perdido,,2021-07-23 14:04:15,Tipo D,2021-07-23 14:04:16,2021-07-23
2021-07-21 12:07:13,Imobiliária 40,Não,05 - Acompanhamento,Perdido,,2021-07-23 14:03:21,Tipo D,2021-07-23 14:03:21,2021-07-23
2021-07-21 13:29:24,Imobiliária 26,Sim,05 - Acompanhamento,Perdido,,2021-07-23 14:38:26,Tipo B,2021-07-23 14:38:26,2021-07-23
2021-07-21 14:02:49,Imobiliária 171,Sim,04 - Pós-visita,Perdido,,2021-07-23 15:40:39,Tipo C,2021-07-23 15:40:39,2021-07-23
2021-07-21 14:05:21,Imobiliária 149,Não,05 - Acompanhamento,Perdido,,2021-09-04 12:00:32,Tipo C,2021-09-04 12:00:33,2021-09-06
2021-07-21 14:26:38,Imobiliária 76,Sim,02 - Ta quente!,Perdido,,2021-09-06 15:26:57,Tipo A,2021-09-06 15:26:57,2021-08-16
2021-07-21 14:38:05,Imobiliária 141,,02 - Ta quente!,Perdido,,2021-10-13 08:24:52,Tipo B,2021-10-13 08:24:52,2021-07-29
2021-07-21 14:48:00,Imobiliária 149,Não,05 - Acompanhamento,Perdido,,2021-07-22 16:38:25,Tipo C,2021-07-22 16:38:26,2021-07-21
2021-07-21 14:50:13,Imobiliária 26,Não,05 - Acompanhamento,Perdido,,2021-07-31 09:31:52,Tipo B,2021-07-31 09:31:52,2021-07-26
2021-07-21 14:50:49,Imobiliária 26,Não,05 - Acompanhamento,Perdido,,2021-07-23 14:01:14,Tipo B,2021-07-23 14:05:20,2021-07-23
2021-07-21 14:51:13,Imobiliária 141,,02 - Ta quente!,Perdido,,2021-10-14 08:17:25,Tipo B,2021-10-14 08:17:25,2021-09-23
2021-07-21 14:51:22,Imobiliária 26,Não,05 - Acompanhamento,Perdido,,2021-07-23 14:00:51,Tipo B,2021-07-23 14:05:27,2021-07-23
2021-07-21 14:51:59,Imobiliária 26,Não,05 - Acompanhamento,Perdido,,2021-07-23 14:03:50,Tipo B,2021-07-23 14:03:57,2021-07-23
2021-07-21 14:55:42,Imobiliária 31,Sim,05 - Acompanhamento,Perdido,,2021-07-24 10:40:30,Tipo D,2021-09-20 17:38:03,2021-08-06
2021-07-21 15:01:16,Imobiliária 63,Não,05 - Acompanhamento,Perdido,,2021-09-20 17:33:11,Tipo D,2021-09-20 17:33:11,2021-08-12
2021-07-21 15:02:56,Imobiliária 170,Sim,02 - Ta quente!,Perdido,,2021-10-14 08:17:18,Tipo B,2021-10-14 08:17:18,2021-07-29
2021-07-21 15:07:13,Imobiliária 5,,02 - Ta quente!,Perdido,,2021-09-21 15:23:30,Tipo C,2021-09-21 15:23:30,2021-07-29
2021-07-21 15:08:43,Imobiliária 171,Não,03 - Visita Agendada,Perdido,,2021-07-22 12:03:42,Tipo C,2021-07-22 12:03:42,
2021-07-21 15:08:44,Imobiliária 170,Não,05 - Acompanhamento,Perdido,,2021-07-27 15:08:31,Tipo B,2021-07-27 15:08:31,2021-07-26
2021-07-21 15:09:27,Imobiliária 149,,05 - Acompanhamento,Perdido,,2021-07-22 16:38:52,Tipo C,2021-07-22 16:38:53,2021-07-21
2021-07-21 15:48:55,Imobiliária 80,,02 - Ta quente!,Perdido,,2021-09-17 09:46:28,Tipo A,2021-09-17 09:46:38,2021-09-17
2021-07-21 15:57:20,Imobiliária 22,,01 - Contato,Em aberto,,,Tipo D,2021-09-30 10:45:39,2021-09-30
2021-07-21 15:58:09,Imobiliária 22,,01 - Contato,Em aberto,,,Tipo D,2021-09-20 08:31:27,2021-09-23
2021-07-21 16:21:42,Imobiliária 135,Sim,03 - Visita Agendada,Perdido,,2021-07-22 10:53:04,Tipo B,2021-07-22 10:53:04,
2021-07-21 16:25:12,Imobiliária 15,,02 - Ta quente!,Perdido,,2021-07-27 15:07:54,Tipo D,2021-07-27 15:07:54,2021-07-28
2021-07-21 16:25:32,Imobiliária 168,Sim,02 - Ta quente!,Perdido,,2021-10-14 10:29:06,Tipo C,2021-10-14 10:29:06,
2021-07-21 16:28:25,Imobiliária 168,Sim,02 - Ta quente!,Perdido,,2021-10-14 10:29:01,Tipo C,2021-10-14 10:29:01,
2021-07-21 16:29:34,Imobiliária 36,,02 - Ta quente!,Perdido,,2021-09-13 12:51:21,Tipo C,2021-09-13 12:51:21,2021-07-26
2021-07-21 16:30:34,Imobiliária 64,Não,03 - Visita Agendada,Perdido,,2021-07-21 16:31:29,Tipo D,2021-07-21 16:31:29,2021-07-23
2021-07-21 16:32:21,Imobiliária 36,,02 - Ta quente!,Perdido,,2021-07-28 15:19:16,Tipo C,2021-07-28 15:19:16,
2021-07-21 16:34:08,Imobiliária 105,Sim,02 - Ta quente!,Perdido,,2021-07-28 16:35:40,Tipo B,2021-07-28 16:35:41,2021-07-26
2021-07-21 16:34:16,Imobiliária 168,Sim,02 - Ta quente!,Perdido,,2021-10-14 10:26:08,Tipo C,2021-10-14 10:26:08,
2021-07-21 16:36:29,Imobiliária 168,Sim,02 - Ta quente!,Perdido,,2021-10-14 10:26:02,Tipo C,2021-10-14 10:26:02,
2021-07-21 16:37:46,Imobiliária 168,Sim,02 - Ta quente!,Perdido,,2021-10-14 10:25:55,Tipo C,2021-10-14 10:25:55,
2021-07-21 16:38:33,Imobiliária 168,Sim,02 - Ta quente!,Perdido,,2021-10-14 10:25:49,Tipo C,2021-10-14 10:25:49,
2021-07-21 16:38:41,Imobiliária 26,,02 - Ta quente!,Perdido,,2021-09-13 12:50:58,Tipo B,2021-09-13 12:50:58,2021-07-26
2021-07-21 16:39:22,Imobiliária 26,,02 - Ta quente!,Perdido,,2021-09-13 12:50:49,Tipo B,2021-09-13 12:50:49,2021-07-26
2021-07-21 16:39:31,Imobiliária 168,Sim,02 - Ta quente!,Perdido,,2021-10-14 10:25:40,Tipo C,2021-10-14 10:25:40,
2021-07-21 16:40:34,Imobiliária 26,,02 - Ta quente!,Perdido,,2021-09-13 12:50:40,Tipo B,2021-09-13 12:50:40,2021-07-26
2021-07-21 16:40:44,Imobiliária 168,Sim,02 - Ta quente!,Perdido,,2021-10-14 10:25:10,Tipo C,2021-10-14 10:25:10,
2021-07-21 16:42:25,Imobiliária 168,Sim,02 - Ta quente!,Perdido,,2021-10-14 10:25:33,Tipo C,2021-10-14 10:25:33,
2021-07-21 16:43:12,Imobiliária 3,,04 - Pós-visita,Perdido,,2021-07-27 10:24:11,Tipo B,2021-07-27 10:24:11,2021-07-23
2021-07-21 16:43:31,Imobiliária 168,,01 - Contato,Perdido,,2021-10-14 10:33:19,Tipo C,2021-10-14 10:33:19,
2021-07-21 16:43:43,Imobiliária 5,Sim,03 - Visita Agendada,Perdido,,2021-07-22 17:26:19,Tipo C,2021-07-22 17:26:20,
2021-07-21 16:44:10,Imobiliária 168,Sim,02 - Ta quente!,Perdido,,2021-10-14 10:28:55,Tipo C,2021-10-14 10:28:55,
2021-07-21 16:44:26,Imobiliária 5,Não,05 - Acompanhamento,Perdido,,2021-09-17 15:07:17,Tipo C,2021-09-17 15:07:17,2021-08-02
2021-07-21 16:44:52,Imobiliária 26,,02 - Ta quente!,Perdido,,2021-09-13 12:50:21,Tipo B,2021-09-13 12:50:21,2021-07-26
2021-07-21 16:45:03,Imobiliária 5,Não,05 - Acompanhamento,Perdido,,2021-07-26 14:58:14,Tipo C,2021-07-26 14:58:15,2021-07-22
2021-07-21 16:45:11,Imobiliária 3,,04 - Pós-visita,Perdido,,2021-07-27 10:24:30,Tipo B,2021-07-27 10:24:30,2021-07-23
2021-07-21 16:45:17,Imobiliária 168,Sim,02 - Ta quente!,Perdido,,2021-10-14 10:32:25,Tipo C,2021-10-14 10:32:25,
2021-07-21 16:45:35,Imobiliária 26,,02 - Ta quente!,Perdido,,2021-09-13 12:50:29,Tipo B,2021-09-13 12:50:29,2021-07-26
2021-07-21 16:45:38,Imobiliária 5,Não,04 - Pós-visita,Perdido,,2021-07-26 14:54:34,Tipo C,2021-07-26 14:54:35,2021-07-22
2021-07-21 16:46:14,Imobiliária 26,,02 - Ta quente!,Perdido,,2021-09-13 12:51:07,Tipo B,2021-09-13 12:51:07,2021-07-26
2021-07-21 16:46:16,Imobiliária 168,Sim,02 - Ta quente!,Perdido,,2021-10-14 10:28:48,Tipo C,2021-10-14 10:28:48,
2021-07-21 16:47:06,Imobiliária 168,Sim,02 - Ta quente!,Perdido,,2021-10-14 10:28:43,Tipo C,2021-10-14 10:28:43,
2021-07-21 16:49:28,Imobiliária 23,,02 - Ta quente!,Perdido,,2021-09-06 10:48:58,Tipo B,2021-09-06 10:48:58,2021-08-03
2021-07-21 16:49:32,Imobiliária 3,Sim,02 - Ta quente!,Perdido,,2021-07-27 11:36:06,Tipo B,2021-07-27 11:36:06,
2021-07-21 16:51:22,Imobiliária 168,Sim,02 - Ta quente!,Perdido,,2021-10-14 10:32:20,Tipo C,2021-10-14 10:32:20,
2021-07-21 16:53:47,Imobiliária 14,,02 - Ta quente!,Perdido,,2021-07-30 17:43:23,Tipo D,2021-07-30 17:43:29,2021-07-30
2021-07-21 16:55:17,Imobiliária 168,Sim,02 - Ta quente!,Perdido,,2021-10-14 10:28:37,Tipo C,2021-10-14 10:28:37,
2021-07-21 16:55:43,Imobiliária 3,Sim,02 - Ta quente!,Perdido,,2021-07-27 11:35:38,Tipo B,2021-07-27 11:35:38,
2021-07-21 16:57:06,Imobiliária 92,Sim,05 - Acompanhamento,Perdido,,2021-09-04 11:29:55,Tipo A,2021-09-04 11:29:55,2021-08-06
2021-07-21 16:57:30,Imobiliária 168,Sim,02 - Ta quente!,Perdido,,2021-10-14 10:28:30,Tipo C,2021-10-14 10:28:30,
2021-07-21 16:57:32,Imobiliária 3,Sim,02 - Ta quente!,Perdido,,2021-07-27 11:10:05,Tipo B,2021-07-27 11:10:05,
